Stock,UPC,Name,Price,Capacity,Cache,RPM,Endurance,Read Speed,Write Speed,Interface,Form Factor,Random Read 4K,Random Write 4K
0,763649117538,"Seagate IronWolf 4TB 5900RPM SATA III 6Gb/s 3.5"" Internal NAS CMR Hard Drive",$75,4TB,64MB,"5,900 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,763649123096,"Seagate BarraCuda 8TB 5400RPM SATA III 6Gb/s 3.5"" OEM Internal SMR Hard Drive",$120,8TB,256MB,"5,400 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,763649117392,"Seagate SkyHawk Surveillance 4TB 5900RPM SATA III 6Gb/s 3.5"" Internal CMR Hard Drive",$80,4TB,64MB,"5,900 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,763649167557,Seagate FireCuda 530 1TB 3D TLC NAND PCIe Gen 4 x4 NVMe M.2 Internal SSD,$143,1TB,,,"1,275 TBW","Up to 7,300MBps","Up to 6,000MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 800,000 IOPS","Up to 1,000,000 IOPS"
0,887276431994,"Samsung 870 EVO 250GB SSD 3-bit MLC V-NAND SATA III 6Gb/s 2.5"" Internal Solid State Drive",$50,250GB,,,150 TBW,Up to 560MBps,Up to 530MBps,SATA 3.0 6.0GB/s,"2.5""","Up to 98,000 IOPS","Up to 88,000 IOPS"
0,649528906656,Crucial P5 Plus 500GB SSD 3D NAND M.2 NVMe PCIe 4.0 x4 Interface Internal Solid State Drive,$73,500GB,,,300 TBW,"Up to 6,600MBps","Up to 4,000MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 360,000 IOPS","Up to 700,000 IOPS"
0,723844000929,"Toshiba N300 6TB 7200RPM SATA III 6Gb/s 3.5"" Internal NAS CMR Hard Drive",$136,6TB,256MB,"7,200 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,723844001049,"Toshiba N300 Pro 12TB 7200RPM SATA III 6Gb/s 3.5"" Internal NAS CMR Hard Drive",$303,12TB,512MB,"7,200 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,840307300003,Solidigm P41 Plus Series 512GB SSD PCIe NVMe 4.0 x4 144L 3D QLC NAND Flash M.2 2280 Internal Solid State Drive,$40,512GB,,,200 TBW,"Up to 3,500MBps","Up to 1,625MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 115,000 IOPS","Up to 540,000 IOPS"
0,763649138298,"Seagate Firecuda 520 1TB Performance M.2 NVMe 1.3 Interface, PCIe Gen4 X4 for Gaming, PC Gaming, Laptop, Desktop, Internal Solid State Drive SSD, 3D TLC, (ZP1000GM3A002)",$173,1TB,,,"1,800 TBW","Up to 5,000MBps","Up to 4,400MBps",PCIe Gen 4 x 4,M.2 2280 M Key,"Up to 760,000 IOPS","Up to 700,000 IOPS"
0,763649173848,"Seagate FireCuda 4TB 7200RPM SATA III 6Gb/s 3.5"" Internal CMR Hard Drive",$140,4TB,256MB,"7,200 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,887276303734,Samsung 970 EVO Plus SSD 250GB M.2 NVMe Interface PCIe 3.0 x4 Internal Solid State Drive with V-NAND 3 bit MLC Technology (MZ-V7S250B/AM),$65,250GB,,,150 TBW,"Up to 3,500MBps","Up to 2,300MBps",PCIe Gen 3 x 4,M.2 2280 M Key,"Up to 250,000 IOPS","Up to 550,000 IOPS"
0,718037895727,"WD Purple 1TB 5400RPM SATA III 6Gb/s 3.5"" Surveillance Internal CMR Hard Drive",$55,1TB,64MB,"5,400 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,723844001179,"Toshiba N300 Pro 4TB 7200RPM SATA III 6Gb/s 3.5"" Internal NAS CMR Hard Drive",$119,4TB,256MB,"7,200 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,718037900414,"WD 2TB Red Plus 5400RPM SATA III 6Gb/s 3.5"" Internal NAS CMR Hard Drive",$64,2TB,128MB,"5,400 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,763649117675,"Seagate BarraCuda 1TB 5400RPM SATA III 6Gb/s 2.5"" Internal SMR Hard Drive",$52,1TB,128MB,"5,400 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
0,718037895734,"WD Purple 2TB 5400RPM SATA III 6Gb/s 3.5"" Surveillance Internal CMR Hard Drive",$71,2TB,64MB,"5,400 RPM",,,,SATA 3.0 6.0GB/s,"3.5""",,
